127.0.0.1 - - [24/May/2022:09:16:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/May/2022:09:16:45 +0900] "GET /community/ HTTP/1.1" 200 7988
0:0:0:0:0:0:0:1 - - [24/May/2022:09:16:45 +0900] "GET /community/resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2022:09:16:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/May/2022:09:16:46 +0900] "GET /community/member/selectAll HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [24/May/2022:09:16:48 +0900] "GET /community/board/list?type=1 HTTP/1.1" 200 9024
0:0:0:0:0:0:0:1 - - [24/May/2022:09:16:48 +0900] "GET /community/resources/css/boardList-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2022:09:16:53 +0900] "GET /community/board/list?type=2 HTTP/1.1" 200 9032
0:0:0:0:0:0:0:1 - - [24/May/2022:09:16:54 +0900] "GET /community/board/list?type=3 HTTP/1.1" 200 9032
0:0:0:0:0:0:0:1 - - [24/May/2022:09:16:55 +0900] "GET /community/board/list?type=1 HTTP/1.1" 200 9024
0:0:0:0:0:0:0:1 - - [24/May/2022:09:16:56 +0900] "GET /community/board/list?type=2 HTTP/1.1" 200 9032
0:0:0:0:0:0:0:1 - - [24/May/2022:09:16:58 +0900] "GET /community/board/list?type=1&cp=2 HTTP/1.1" 200 9024
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:02 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:02 +0900] "GET /community/ HTTP/1.1" 200 7988
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:02 +0900] "GET /community/member/selectAll HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:05 +0900] "GET /community/board/list?type=3 HTTP/1.1" 200 9032
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:06 +0900] "GET /community/board/list?type=2 HTTP/1.1" 200 9032
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:06 +0900] "GET /community/board/list?type=1 HTTP/1.1" 200 9024
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:07 +0900] "GET /community HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:07 +0900] "GET /community/ HTTP/1.1" 200 7988
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:07 +0900] "GET /community/member/selectAll HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:17 +0900] "GET /community/member/selectAll HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:20 +0900] "POST /community/member/selectOne HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:24 +0900] "GET /community/board/list?type=2 HTTP/1.1" 200 9032
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:25 +0900] "GET /community/board/list?type=1 HTTP/1.1" 200 9024
0:0:0:0:0:0:0:1 - - [24/May/2022:09:17:26 +0900] "GET /community/board/list?type=3 HTTP/1.1" 200 9032
0:0:0:0:0:0:0:1 - - [24/May/2022:09:27:55 +0900] "GET /community/board/list?type=3 HTTP/1.1" 200 5647
0:0:0:0:0:0:0:1 - - [24/May/2022:09:28:49 +0900] "GET /community/board/list?type=3 HTTP/1.1" 200 5800
0:0:0:0:0:0:0:1 - - [24/May/2022:09:29:16 +0900] "GET /community/board/list?type=3 HTTP/1.1" 200 5842
